Hidden Layers,Activation,Epochs,Learning Rate,Batch Size,Accuracy
[8],Linear,10,10.0,32,63.90243902439025
[8],Linear,10,10.0,64,77.5609756097561
[8],Linear,10,10.0,128,63.41463414634146
[8],Linear,10,10.0,256,82.4390243902439
[8],Linear,10,10.0,512,81.95121951219512
[8],Linear,10,1.0,16,76.58536585365853
[8],Linear,10,1.0,32,80.0
[8],Linear,10,1.0,64,79.51219512195122
[8],Linear,10,1.0,128,72.1951219512195
[8],Linear,10,1.0,256,84.8780487804878
[8],Linear,10,1.0,512,77.07317073170732
[8],Linear,10,0.1,16,76.58536585365853
[8],Linear,10,0.1,32,81.95121951219512
[8],Linear,10,0.1,64,83.90243902439025
[8],Linear,10,0.1,128,82.4390243902439
[8],Linear,10,0.1,256,80.0
[8],Linear,10,0.1,512,80.48780487804878
[8],Linear,10,0.01,16,81.46341463414635
[8],Linear,10,0.01,32,81.95121951219512
[8],Linear,10,0.01,64,81.95121951219512
[8],Linear,10,0.01,128,81.95121951219512
[8],Linear,10,0.01,256,84.8780487804878
[8],Linear,10,0.01,512,79.51219512195122
[8],Linear,10,0.001,16,81.95121951219512
[8],Linear,10,0.001,32,81.46341463414635
[8],Linear,10,0.001,64,81.95121951219512
[8],Linear,10,0.001,128,73.65853658536585
[8],Linear,10,0.001,256,71.21951219512195
[8],Linear,10,0.001,512,41.46341463414634
[8],Linear,10,0.0001,16,79.02439024390245
[8],Linear,10,0.0001,32,39.51219512195122
[8],Linear,10,0.0001,64,44.390243902439025
[8],Linear,10,0.0001,128,40.97560975609756
[8],Linear,10,0.0001,256,47.80487804878049
[8],Linear,10,0.0001,512,29.75609756097561
[8],Linear,25,10.0,16,80.97560975609755
[8],Linear,25,10.0,32,81.46341463414635
[8],Linear,25,10.0,64,80.97560975609755
[8],Linear,25,10.0,128,81.46341463414635
[8],Linear,25,10.0,256,69.7560975609756
[8],Linear,25,10.0,512,81.95121951219512
[8],Linear,25,1.0,16,76.09756097560975
[8],Linear,25,1.0,32,81.95121951219512
[8],Linear,25,1.0,64,83.90243902439025
[8],Linear,25,1.0,128,79.02439024390245
[8],Linear,25,1.0,256,81.95121951219512
[8],Linear,25,1.0,512,73.65853658536585
[8],Linear,25,0.1,16,84.8780487804878
[8],Linear,25,0.1,32,85.36585365853658
[8],Linear,25,0.1,64,81.46341463414635
[8],Linear,25,0.1,128,82.4390243902439
[8],Linear,25,0.1,256,82.92682926829268
[8],Linear,25,0.1,512,81.95121951219512
[8],Linear,25,0.01,16,81.95121951219512
[8],Linear,25,0.01,32,80.97560975609755
[8],Linear,25,0.01,64,81.95121951219512
[8],Linear,25,0.01,128,83.41463414634147
[8],Linear,25,0.01,256,81.46341463414635
[8],Linear,25,0.01,512,80.48780487804878
[8],Linear,25,0.001,16,80.97560975609755
[8],Linear,25,0.001,32,80.97560975609755
[8],Linear,25,0.001,64,80.48780487804878
[8],Linear,25,0.001,128,80.48780487804878
[8],Linear,25,0.001,256,81.95121951219512
[8],Linear,25,0.001,512,67.8048780487805
[8],Linear,25,0.0001,16,81.46341463414635
[8],Linear,25,0.0001,32,81.46341463414635
[8],Linear,25,0.0001,64,73.65853658536585
[8],Linear,25,0.0001,128,67.3170731707317
[8],Linear,25,0.0001,256,47.31707317073171
[8],Linear,25,0.0001,512,68.78048780487805
[8],Linear,50,10.0,16,71.21951219512195
[8],Linear,50,10.0,32,71.70731707317073
[8],Linear,50,10.0,64,70.2439024390244
[8],Linear,50,10.0,128,79.51219512195122
[8],Linear,50,10.0,256,76.58536585365853
[8],Linear,50,10.0,512,83.41463414634147
[8],Linear,50,1.0,16,81.95121951219512
[8],Linear,50,1.0,32,79.51219512195122
[8],Linear,50,1.0,64,80.97560975609755
[8],Linear,50,1.0,128,80.0
[8],Linear,50,1.0,256,82.4390243902439
[8],Linear,50,1.0,512,81.95121951219512
[8],Linear,50,0.1,16,81.46341463414635
[8],Linear,50,0.1,32,77.5609756097561
[8],Linear,50,0.1,64,82.92682926829268
[8],Linear,50,0.1,128,81.46341463414635
[8],Linear,50,0.1,256,84.8780487804878
[8],Linear,50,0.1,512,82.92682926829268
[8],Linear,50,0.01,16,80.97560975609755
[8],Linear,50,0.01,32,80.97560975609755
[8],Linear,50,0.01,64,80.97560975609755
[8],Linear,50,0.01,128,81.95121951219512
[8],Linear,50,0.01,256,82.92682926829268
[8],Linear,50,0.01,512,80.97560975609755
[8],Linear,50,0.001,16,80.97560975609755
[8],Linear,50,0.001,32,80.97560975609755
[8],Linear,50,0.001,64,80.97560975609755
[8],Linear,50,0.001,128,83.90243902439025
[8],Linear,50,0.001,256,80.48780487804878
[8],Linear,50,0.001,512,81.46341463414635
[8],Linear,50,0.0001,16,81.46341463414635
[8],Linear,50,0.0001,32,78.53658536585365
[8],Linear,50,0.0001,64,77.07317073170732
[8],Linear,50,0.0001,128,76.09756097560975
[8],Linear,50,0.0001,256,54.63414634146341
[8],Linear,50,0.0001,512,52.19512195121951
[8],Linear,100,10.0,16,83.90243902439025
[8],Linear,100,10.0,32,74.14634146341463
[8],Linear,100,10.0,64,35.1219512195122
[8],Linear,100,10.0,128,81.46341463414635
[8],Linear,100,10.0,256,72.6829268292683
[8],Linear,100,10.0,512,77.07317073170732
[8],Linear,100,1.0,16,82.92682926829268
[8],Linear,100,1.0,32,79.02439024390245
[8],Linear,100,1.0,64,81.95121951219512
[8],Linear,100,1.0,128,80.0
[8],Linear,100,1.0,256,80.97560975609755
[8],Linear,100,1.0,512,82.92682926829268
[8],Linear,100,0.1,16,86.34146341463415
[8],Linear,100,0.1,32,82.4390243902439
[8],Linear,100,0.1,64,81.95121951219512
[8],Linear,100,0.1,128,81.95121951219512
[8],Linear,100,0.1,256,81.95121951219512
[8],Linear,100,0.1,512,80.97560975609755
[8],Linear,100,0.01,16,81.95121951219512
[8],Linear,100,0.01,32,80.97560975609755
[8],Linear,100,0.01,64,82.4390243902439
[8],Linear,100,0.01,128,83.41463414634147
[8],Linear,100,0.01,256,81.95121951219512
[8],Linear,100,0.01,512,80.97560975609755
[8],Linear,100,0.001,16,82.4390243902439
[8],Linear,100,0.001,32,80.97560975609755
[8],Linear,100,0.001,64,80.97560975609755
[8],Linear,100,0.001,128,81.46341463414635
[8],Linear,100,0.001,256,81.95121951219512
[8],Linear,100,0.001,512,81.46341463414635
[8],Linear,100,0.0001,16,80.0
[8],Linear,100,0.0001,32,80.48780487804878
[8],Linear,100,0.0001,64,82.4390243902439
[8],Linear,100,0.0001,128,77.5609756097561
[8],Linear,100,0.0001,256,72.6829268292683
[8],Linear,100,0.0001,512,63.41463414634146
[8],Linear,250,10.0,16,84.39024390243902
[8],Linear,250,10.0,32,80.97560975609755
[8],Linear,250,10.0,64,77.07317073170732
[8],Linear,250,10.0,128,82.4390243902439
[8],Linear,250,10.0,256,81.46341463414635
[8],Linear,250,10.0,512,85.85365853658537
[8],Linear,250,1.0,16,78.04878048780488
[8],Linear,250,1.0,32,83.41463414634147
[8],Linear,250,1.0,64,81.95121951219512
[8],Linear,250,1.0,128,81.46341463414635
[8],Linear,250,1.0,256,73.65853658536585
[8],Linear,250,1.0,512,80.97560975609755
[8],Linear,250,0.1,16,79.51219512195122
[8],Linear,250,0.1,32,83.41463414634147
[8],Linear,250,0.1,64,85.36585365853658
[8],Linear,250,0.1,128,82.4390243902439
[8],Linear,250,0.1,256,82.92682926829268
[8],Linear,250,0.1,512,80.97560975609755
[8],Linear,250,0.01,16,81.46341463414635
[8],Linear,250,0.01,32,81.46341463414635
[8],Linear,250,0.01,64,80.97560975609755
[8],Linear,250,0.01,128,82.92682926829268
[8],Linear,250,0.01,256,82.4390243902439
[8],Linear,250,0.01,512,80.97560975609755
[8],Linear,250,0.001,16,80.97560975609755
[8],Linear,250,0.001,32,80.97560975609755
[8],Linear,250,0.001,64,80.97560975609755
[8],Linear,250,0.001,128,80.97560975609755
[8],Linear,250,0.001,256,80.97560975609755
[8],Linear,250,0.001,512,80.97560975609755
[8],Linear,250,0.0001,16,80.97560975609755
[8],Linear,250,0.0001,32,80.48780487804878
[8],Linear,250,0.0001,64,79.02439024390245
[8],Linear,250,0.0001,128,80.97560975609755
[8],Linear,250,0.0001,256,77.5609756097561
[8],Linear,250,0.0001,512,74.63414634146342
[8],ReLU,1,10.0,16,71.21951219512195
[8],ReLU,1,10.0,32,75.60975609756098
[8],ReLU,1,10.0,64,78.04878048780488
[8],ReLU,1,10.0,128,51.21951219512195
[8],ReLU,1,10.0,256,53.170731707317074
[8],ReLU,1,10.0,512,81.95121951219512
[8],ReLU,1,1.0,16,80.0
[8],ReLU,1,1.0,32,76.09756097560975
[8],ReLU,1,1.0,64,71.70731707317073
[8],ReLU,1,1.0,128,64.8780487804878
[8],ReLU,1,1.0,256,80.48780487804878
[8],ReLU,1,1.0,512,26.829268292682926
[8],ReLU,1,0.1,16,80.97560975609755
[8],ReLU,1,0.1,32,82.92682926829268
[8],ReLU,1,0.1,64,80.48780487804878
[8],ReLU,1,0.1,128,86.34146341463415
[8],ReLU,1,0.1,256,81.95121951219512
[8],ReLU,1,0.1,512,82.4390243902439
[8],ReLU,1,0.01,16,82.92682926829268
[8],ReLU,1,0.01,32,83.41463414634147
[8],ReLU,1,0.01,64,83.41463414634147
[8],ReLU,1,0.01,128,75.60975609756098
[8],ReLU,1,0.01,256,78.04878048780488
[8],ReLU,1,0.01,512,51.21951219512195
[8],ReLU,1,0.001,16,78.53658536585365
[8],ReLU,1,0.001,32,58.048780487804876
[8],ReLU,1,0.001,64,51.21951219512195
[8],ReLU,1,0.001,128,61.951219512195124
[8],ReLU,1,0.001,256,50.24390243902439
[8],ReLU,1,0.001,512,51.21951219512195
[8],ReLU,1,0.0001,16,59.02439024390244
[8],ReLU,1,0.0001,32,52.68292682926829
[8],ReLU,1,0.0001,64,60.97560975609756
[8],ReLU,1,0.0001,128,57.073170731707314
[8],ReLU,1,0.0001,256,60.48780487804878
[8],ReLU,1,0.0001,512,51.21951219512195
[8],ReLU,10,10.0,16,65.36585365853658
[8],ReLU,10,10.0,32,65.85365853658537
[8],ReLU,10,10.0,64,54.146341463414636
[8],ReLU,10,10.0,128,49.75609756097561
[8],ReLU,10,10.0,256,69.7560975609756
[8],ReLU,10,10.0,512,48.78048780487805
[8],ReLU,10,1.0,16,49.26829268292683
[8],ReLU,10,1.0,32,78.04878048780488
[8],ReLU,10,1.0,64,73.65853658536585
[8],ReLU,10,1.0,128,80.48780487804878
[8],ReLU,10,1.0,256,79.02439024390245
[8],ReLU,10,1.0,512,58.048780487804876
[8],ReLU,10,0.1,16,87.8048780487805
[8],ReLU,10,0.1,32,85.85365853658537
[8],ReLU,10,0.1,64,94.14634146341463
[8],ReLU,10,0.1,128,91.70731707317073
[8],ReLU,10,0.1,256,90.73170731707317
[8],ReLU,10,0.1,512,87.3170731707317
[8],ReLU,10,0.01,16,90.2439024390244
[8],ReLU,10,0.01,32,90.73170731707317
[8],ReLU,10,0.01,64,86.82926829268293
[8],ReLU,10,0.01,128,84.39024390243902
[8],ReLU,10,0.01,256,83.41463414634147
[8],ReLU,10,0.01,512,79.51219512195122
[8],ReLU,10,0.001,16,83.41463414634147
[8],ReLU,10,0.001,32,81.95121951219512
[8],ReLU,10,0.001,64,80.97560975609755
[8],ReLU,10,0.001,128,78.04878048780488
[8],ReLU,10,0.001,256,69.7560975609756
[8],ReLU,10,0.001,512,60.48780487804878
[8],ReLU,10,0.0001,16,72.6829268292683
[8],ReLU,10,0.0001,32,64.8780487804878
[8],ReLU,10,0.0001,64,44.8780487804878
[8],ReLU,10,0.0001,128,52.68292682926829
[8],ReLU,10,0.0001,256,47.31707317073171
[8],ReLU,10,0.0001,512,62.926829268292686
[8],ReLU,25,10.0,16,52.19512195121951
[8],ReLU,25,10.0,32,59.02439024390244
[8],ReLU,25,10.0,64,65.36585365853658
[8],ReLU,25,10.0,128,81.95121951219512
[8],ReLU,25,10.0,256,80.48780487804878
[8],ReLU,25,10.0,512,73.65853658536585
[8],ReLU,25,1.0,16,53.170731707317074
[8],ReLU,25,1.0,32,64.39024390243902
[8],ReLU,25,1.0,64,78.53658536585365
[8],ReLU,25,1.0,128,81.95121951219512
[8],ReLU,25,1.0,256,79.51219512195122
[8],ReLU,25,1.0,512,86.34146341463415
[8],ReLU,25,0.1,16,89.7560975609756
[8],ReLU,25,0.1,32,92.1951219512195
[8],ReLU,25,0.1,64,96.58536585365853
[8],ReLU,25,0.1,128,91.21951219512195
[8],ReLU,25,0.1,256,94.63414634146342
[8],ReLU,25,0.1,512,82.4390243902439
[8],ReLU,25,0.01,16,94.14634146341463
[8],ReLU,25,0.01,32,92.1951219512195
[8],ReLU,25,0.01,64,91.70731707317073
[8],ReLU,25,0.01,128,86.82926829268293
[8],ReLU,25,0.01,256,87.3170731707317
[8],ReLU,25,0.01,512,83.90243902439025
[8],ReLU,25,0.001,16,85.85365853658537
[8],ReLU,25,0.001,32,83.41463414634147
[8],ReLU,25,0.001,64,88.29268292682927
[8],ReLU,25,0.001,128,83.90243902439025
[8],ReLU,25,0.001,256,82.92682926829268
[8],ReLU,25,0.001,512,67.3170731707317
[8],ReLU,25,0.0001,16,79.51219512195122
[8],ReLU,25,0.0001,32,69.26829268292683
[8],ReLU,25,0.0001,64,51.707317073170735
[8],ReLU,25,0.0001,128,60.97560975609756
[8],ReLU,25,0.0001,256,50.24390243902439
[8],ReLU,25,0.0001,512,72.6829268292683
[8],ReLU,50,10.0,16,50.73170731707317
[8],ReLU,50,10.0,32,64.8780487804878
[8],ReLU,50,10.0,64,63.41463414634146
[8],ReLU,50,10.0,128,69.7560975609756
[8],ReLU,50,10.0,256,74.63414634146342
[8],ReLU,50,10.0,512,77.5609756097561
[8],ReLU,50,1.0,16,48.78048780487805
[8],ReLU,50,1.0,32,51.707317073170735
[8],ReLU,50,1.0,64,73.17073170731707
[8],ReLU,50,1.0,128,85.85365853658537
[8],ReLU,50,1.0,256,67.8048780487805
[8],ReLU,50,1.0,512,84.39024390243902
[8],ReLU,50,0.1,16,91.70731707317073
[8],ReLU,50,0.1,32,95.60975609756098
[8],ReLU,50,0.1,64,94.14634146341463
[8],ReLU,50,0.1,128,97.5609756097561
[8],ReLU,50,0.1,256,97.5609756097561
[8],ReLU,50,0.1,512,98.04878048780488
[8],ReLU,50,0.01,16,96.58536585365853
[8],ReLU,50,0.01,32,97.07317073170732
[8],ReLU,50,0.01,64,94.63414634146342
[8],ReLU,50,0.01,128,89.7560975609756
[8],ReLU,50,0.01,256,91.70731707317073
[8],ReLU,50,0.01,512,88.78048780487805
[8],ReLU,50,0.001,16,88.78048780487805
[8],ReLU,50,0.001,32,83.90243902439025
[8],ReLU,50,0.001,64,83.90243902439025
[8],ReLU,50,0.001,128,84.8780487804878
[8],ReLU,50,0.001,256,84.8780487804878
[8],ReLU,50,0.001,512,77.07317073170732
[8],ReLU,50,0.0001,16,81.95121951219512
[8],ReLU,50,0.0001,32,79.02439024390245
[8],ReLU,50,0.0001,64,69.26829268292683
[8],ReLU,50,0.0001,128,55.1219512195122
[8],ReLU,50,0.0001,256,62.926829268292686
[8],ReLU,50,0.0001,512,48.78048780487805
[8],ReLU,100,10.0,16,59.51219512195122
[8],ReLU,100,10.0,32,57.5609756097561
[8],ReLU,100,10.0,64,68.78048780487805
[8],ReLU,100,10.0,128,70.73170731707317
[8],ReLU,100,10.0,256,68.29268292682927
[8],ReLU,100,10.0,512,78.04878048780488
[8],ReLU,100,1.0,16,51.21951219512195
[8],ReLU,100,1.0,32,54.146341463414636
[8],ReLU,100,1.0,64,51.21951219512195
[8],ReLU,100,1.0,128,85.36585365853658
[8],ReLU,100,1.0,256,89.7560975609756
[8],ReLU,100,1.0,512,87.3170731707317
[8],ReLU,100,0.1,16,82.92682926829268
[8],ReLU,100,0.1,32,93.17073170731707
[8],ReLU,100,0.1,64,99.51219512195122
[8],ReLU,100,0.1,128,97.5609756097561
[8],ReLU,100,0.1,256,95.1219512195122
[8],ReLU,100,0.1,512,98.53658536585365
[8],ReLU,100,0.01,16,95.60975609756098
[8],ReLU,100,0.01,32,98.53658536585365
[8],ReLU,100,0.01,64,97.07317073170732
[8],ReLU,100,0.01,128,96.58536585365853
[8],ReLU,100,0.01,256,94.63414634146342
[8],ReLU,100,0.01,512,92.6829268292683
[8],ReLU,100,0.001,16,91.21951219512195
[8],ReLU,100,0.001,32,87.3170731707317
[8],ReLU,100,0.001,64,83.90243902439025
[8],ReLU,100,0.001,128,82.92682926829268
[8],ReLU,100,0.001,256,84.8780487804878
[8],ReLU,100,0.001,512,81.95121951219512
[8],ReLU,100,0.0001,16,82.92682926829268
[8],ReLU,100,0.0001,32,80.97560975609755
[8],ReLU,100,0.0001,64,78.04878048780488
[8],ReLU,100,0.0001,128,76.58536585365853
[8],ReLU,100,0.0001,256,60.0
[8],ReLU,100,0.0001,512,56.58536585365854
[8],ReLU,250,10.0,16,58.53658536585366
[8],ReLU,250,10.0,32,63.41463414634146
[8],ReLU,250,10.0,64,62.926829268292686
[8],ReLU,250,10.0,128,56.58536585365854
[8],ReLU,250,10.0,256,74.14634146341463
[8],ReLU,250,10.0,512,79.02439024390245
[8],ReLU,250,1.0,16,52.68292682926829
[8],ReLU,250,1.0,32,50.24390243902439
[8],ReLU,250,1.0,64,70.2439024390244
[8],ReLU,250,1.0,128,78.04878048780488
[8],ReLU,250,1.0,256,95.1219512195122
[8],ReLU,250,1.0,512,93.17073170731707
[8],ReLU,250,0.1,16,78.53658536585365
[8],ReLU,250,0.1,32,90.2439024390244
[8],ReLU,250,0.1,64,100.0
[8],ReLU,250,0.1,128,99.51219512195122
[8],ReLU,250,0.1,256,100.0
[8],ReLU,250,0.1,512,99.51219512195122
[8],ReLU,250,0.01,16,100.0
[8],ReLU,250,0.01,32,100.0
[8],ReLU,250,0.01,64,100.0
[8],ReLU,250,0.01,128,99.02439024390245
[8],ReLU,250,0.01,256,98.53658536585365
[8],ReLU,250,0.01,512,93.65853658536585
[8],ReLU,250,0.001,16,93.17073170731707
[8],ReLU,250,0.001,32,90.73170731707317
[8],ReLU,250,0.001,64,91.21951219512195
[8],ReLU,250,0.001,128,92.6829268292683
[8],ReLU,250,0.001,256,85.85365853658537
[8],ReLU,250,0.001,512,86.34146341463415
[8],ReLU,250,0.0001,16,83.41463414634147
[8],ReLU,250,0.0001,32,83.41463414634147
[8],ReLU,250,0.0001,64,81.46341463414635
[8],ReLU,250,0.0001,128,85.85365853658537
[8],ReLU,250,0.0001,256,74.14634146341463
[8],ReLU,250,0.0001,512,47.31707317073171
[8],Sigmoid,1,10.0,16,75.60975609756098
[8],Sigmoid,1,10.0,32,72.1951219512195
[8],Sigmoid,1,10.0,64,76.58536585365853
[8],Sigmoid,1,10.0,128,78.04878048780488
[8],Sigmoid,1,10.0,256,75.60975609756098
[8],Sigmoid,1,10.0,512,48.78048780487805
[8],Sigmoid,1,1.0,16,75.60975609756098
[8],Sigmoid,1,1.0,32,79.51219512195122
[8],Sigmoid,1,1.0,64,79.02439024390245
[8],Sigmoid,1,1.0,128,81.95121951219512
[8],Sigmoid,1,1.0,256,48.78048780487805
[8],Sigmoid,1,1.0,512,51.21951219512195
[8],Sigmoid,1,0.1,16,83.90243902439025
[8],Sigmoid,1,0.1,32,83.90243902439025
[8],Sigmoid,1,0.1,64,84.39024390243902
[8],Sigmoid,1,0.1,128,81.46341463414635
[8],Sigmoid,1,0.1,256,78.04878048780488
[8],Sigmoid,1,0.1,512,73.17073170731707
[8],Sigmoid,1,0.01,16,80.97560975609755
[8],Sigmoid,1,0.01,32,79.51219512195122
[8],Sigmoid,1,0.01,64,83.90243902439025
[8],Sigmoid,1,0.01,128,51.21951219512195
[8],Sigmoid,1,0.01,256,81.46341463414635
[8],Sigmoid,1,0.01,512,75.1219512195122
[8],Sigmoid,1,0.001,16,49.26829268292683
[8],Sigmoid,1,0.001,32,53.65853658536585
[8],Sigmoid,1,0.001,64,50.73170731707317
[8],Sigmoid,1,0.001,128,49.26829268292683
[8],Sigmoid,1,0.001,256,51.21951219512195
[8],Sigmoid,1,0.001,512,59.51219512195122
[8],Sigmoid,1,0.0001,16,46.829268292682926
[8],Sigmoid,1,0.0001,32,51.21951219512195
[8],Sigmoid,1,0.0001,64,50.24390243902439
[8],Sigmoid,1,0.0001,128,51.21951219512195
[8],Sigmoid,1,0.0001,256,47.80487804878049
[8],Sigmoid,1,0.0001,512,50.73170731707317
[8],Sigmoid,10,10.0,16,82.4390243902439
[8],Sigmoid,10,10.0,32,80.48780487804878
[8],Sigmoid,10,10.0,64,76.58536585365853
[8],Sigmoid,10,10.0,128,62.4390243902439
[8],Sigmoid,10,10.0,256,56.09756097560975
[8],Sigmoid,10,10.0,512,79.51219512195122
[8],Sigmoid,10,1.0,16,82.92682926829268
[8],Sigmoid,10,1.0,32,80.97560975609755
[8],Sigmoid,10,1.0,64,84.39024390243902
[8],Sigmoid,10,1.0,128,88.29268292682927
[8],Sigmoid,10,1.0,256,92.1951219512195
[8],Sigmoid,10,1.0,512,86.34146341463415
[8],Sigmoid,10,0.1,16,91.21951219512195
[8],Sigmoid,10,0.1,32,94.63414634146342
[8],Sigmoid,10,0.1,64,89.7560975609756
[8],Sigmoid,10,0.1,128,87.8048780487805
[8],Sigmoid,10,0.1,256,87.3170731707317
[8],Sigmoid,10,0.1,512,84.39024390243902
[8],Sigmoid,10,0.01,16,88.29268292682927
[8],Sigmoid,10,0.01,32,81.95121951219512
[8],Sigmoid,10,0.01,64,82.4390243902439
[8],Sigmoid,10,0.01,128,81.46341463414635
[8],Sigmoid,10,0.01,256,82.4390243902439
[8],Sigmoid,10,0.01,512,78.53658536585365
[8],Sigmoid,10,0.001,16,80.48780487804878
[8],Sigmoid,10,0.001,32,82.4390243902439
[8],Sigmoid,10,0.001,64,79.51219512195122
[8],Sigmoid,10,0.001,128,76.58536585365853
[8],Sigmoid,10,0.001,256,51.21951219512195
[8],Sigmoid,10,0.001,512,51.21951219512195
[8],Sigmoid,10,0.0001,16,56.58536585365854
[8],Sigmoid,10,0.0001,32,48.78048780487805
[8],Sigmoid,10,0.0001,64,48.78048780487805
[8],Sigmoid,10,0.0001,128,48.78048780487805
[8],Sigmoid,10,0.0001,256,43.41463414634146
[8],Sigmoid,10,0.0001,512,48.78048780487805
[8],Sigmoid,25,10.0,16,76.58536585365853
[8],Sigmoid,25,10.0,32,60.48780487804878
[8],Sigmoid,25,10.0,64,80.97560975609755
[8],Sigmoid,25,10.0,128,67.8048780487805
[8],Sigmoid,25,10.0,256,79.51219512195122
[8],Sigmoid,25,10.0,512,73.65853658536585
[8],Sigmoid,25,1.0,16,80.48780487804878
[8],Sigmoid,25,1.0,32,84.8780487804878
[8],Sigmoid,25,1.0,64,90.2439024390244
[8],Sigmoid,25,1.0,128,92.6829268292683
[8],Sigmoid,25,1.0,256,88.29268292682927
[8],Sigmoid,25,1.0,512,87.3170731707317
[8],Sigmoid,25,0.1,16,94.63414634146342
[8],Sigmoid,25,0.1,32,99.51219512195122
[8],Sigmoid,25,0.1,64,97.5609756097561
[8],Sigmoid,25,0.1,128,94.14634146341463
[8],Sigmoid,25,0.1,256,92.1951219512195
[8],Sigmoid,25,0.1,512,87.8048780487805
[8],Sigmoid,25,0.01,16,91.21951219512195
[8],Sigmoid,25,0.01,32,92.1951219512195
[8],Sigmoid,25,0.01,64,87.3170731707317
[8],Sigmoid,25,0.01,128,85.36585365853658
[8],Sigmoid,25,0.01,256,84.8780487804878
[8],Sigmoid,25,0.01,512,81.46341463414635
[8],Sigmoid,25,0.001,16,81.95121951219512
[8],Sigmoid,25,0.001,32,80.48780487804878
[8],Sigmoid,25,0.001,64,81.95121951219512
[8],Sigmoid,25,0.001,128,80.97560975609755
[8],Sigmoid,25,0.001,256,53.65853658536585
[8],Sigmoid,25,0.001,512,55.1219512195122
[8],Sigmoid,25,0.0001,16,80.48780487804878
[8],Sigmoid,25,0.0001,32,48.78048780487805
[8],Sigmoid,25,0.0001,64,50.24390243902439
[8],Sigmoid,25,0.0001,128,48.78048780487805
[8],Sigmoid,25,0.0001,256,48.78048780487805
[8],Sigmoid,25,0.0001,512,51.21951219512195
[8],Sigmoid,50,10.0,16,78.04878048780488
[8],Sigmoid,50,10.0,32,80.0
[8],Sigmoid,50,10.0,64,81.46341463414635
[8],Sigmoid,50,10.0,128,66.34146341463415
[8],Sigmoid,50,10.0,256,85.36585365853658
[8],Sigmoid,50,10.0,512,78.53658536585365
[8],Sigmoid,50,1.0,16,86.34146341463415
[8],Sigmoid,50,1.0,32,85.36585365853658
[8],Sigmoid,50,1.0,64,88.29268292682927
[8],Sigmoid,50,1.0,128,93.65853658536585
[8],Sigmoid,50,1.0,256,89.7560975609756
[8],Sigmoid,50,1.0,512,93.17073170731707
[8],Sigmoid,50,0.1,16,98.53658536585365
[8],Sigmoid,50,0.1,32,99.02439024390245
[8],Sigmoid,50,0.1,64,100.0
[8],Sigmoid,50,0.1,128,98.53658536585365
[8],Sigmoid,50,0.1,256,92.6829268292683
[8],Sigmoid,50,0.1,512,96.58536585365853
[8],Sigmoid,50,0.01,16,93.65853658536585
[8],Sigmoid,50,0.01,32,94.14634146341463
[8],Sigmoid,50,0.01,64,91.21951219512195
[8],Sigmoid,50,0.01,128,87.8048780487805
[8],Sigmoid,50,0.01,256,83.90243902439025
[8],Sigmoid,50,0.01,512,82.4390243902439
[8],Sigmoid,50,0.001,16,85.85365853658537
[8],Sigmoid,50,0.001,32,84.39024390243902
[8],Sigmoid,50,0.001,64,83.41463414634147
[8],Sigmoid,50,0.001,128,83.41463414634147
[8],Sigmoid,50,0.001,256,80.48780487804878
[8],Sigmoid,50,0.001,512,80.0
[8],Sigmoid,50,0.0001,16,81.95121951219512
[8],Sigmoid,50,0.0001,32,79.02439024390245
[8],Sigmoid,50,0.0001,64,80.0
[8],Sigmoid,50,0.0001,128,48.78048780487805
[8],Sigmoid,50,0.0001,256,46.34146341463415
[8],Sigmoid,50,0.0001,512,48.78048780487805
[8],Sigmoid,100,10.0,16,80.0
[8],Sigmoid,100,10.0,32,78.04878048780488
[8],Sigmoid,100,10.0,64,82.4390243902439
[8],Sigmoid,100,10.0,128,72.1951219512195
[8],Sigmoid,100,10.0,256,76.58536585365853
[8],Sigmoid,100,10.0,512,78.04878048780488
[8],Sigmoid,100,1.0,16,81.95121951219512
[8],Sigmoid,100,1.0,32,82.4390243902439
[8],Sigmoid,100,1.0,64,91.21951219512195
[8],Sigmoid,100,1.0,128,93.17073170731707
[8],Sigmoid,100,1.0,256,94.63414634146342
[8],Sigmoid,100,1.0,512,94.14634146341463
[8],Sigmoid,100,0.1,16,95.1219512195122
[8],Sigmoid,100,0.1,32,98.04878048780488
[8],Sigmoid,100,0.1,64,96.58536585365853
[8],Sigmoid,100,0.1,128,98.04878048780488
[8],Sigmoid,100,0.1,256,100.0
[8],Sigmoid,100,0.1,512,97.5609756097561
[8],Sigmoid,100,0.01,16,98.04878048780488
[8],Sigmoid,100,0.01,32,94.63414634146342
[8],Sigmoid,100,0.01,64,96.58536585365853
[8],Sigmoid,100,0.01,128,93.65853658536585
[8],Sigmoid,100,0.01,256,87.3170731707317
[8],Sigmoid,100,0.01,512,87.3170731707317
[8],Sigmoid,100,0.001,16,87.3170731707317
[8],Sigmoid,100,0.001,32,85.85365853658537
[8],Sigmoid,100,0.001,64,83.41463414634147
[8],Sigmoid,100,0.001,128,83.41463414634147
[8],Sigmoid,100,0.001,256,84.39024390243902
[8],Sigmoid,100,0.001,512,77.5609756097561
[8],Sigmoid,100,0.0001,16,82.4390243902439
[8],Sigmoid,100,0.0001,32,74.14634146341463
[8],Sigmoid,100,0.0001,64,78.53658536585365
[8],Sigmoid,100,0.0001,128,71.70731707317073
